LEAGUE,URL,URL_NUMBER
Euroleague,/international/league/1/Euroleague/stats/2019/Per_48/All/All?pace_adjustment=,1
Eurocup,/international/league/2/Eurocup/stats/2019/Per_48/All/All?pace_adjustment=,2
Spanish ACB,/international/league/4/Spanish-ACB/stats/2019/Per_48/All/All?pace_adjustment=,4
Australian NBL,/international/league/5/Australian-NBL/stats/2019/Per_48/All/All?pace_adjustment=,5
Italian Lega Basket Serie A,/international/league/6/Italian-Lega-Basket-Serie-A/stats/2019/Per_48/All/All?pace_adjustment=,6
Turkish BSL,/international/league/7/Turkish-BSL/stats/2019/Per_48/All/All?pace_adjustment=,7
Greek HEBA A1,/international/league/8/Greek-HEBA-A1/stats/2019/Per_48/All/All?pace_adjustment=,8
Lithuanian LKL,/international/league/10/Lithuanian-LKL/stats/2019/Per_48/All/All?pace_adjustment=,10
Israeli BSL,/international/league/11/Israeli-BSL/stats/2019/Per_48/All/All?pace_adjustment=,11
French Jeep Elite,/international/league/12/French-Jeep-Elite/stats/2019/Per_48/All/All?pace_adjustment=,12
Serbian KLS,/international/league/13/Serbian-KLS/stats/2019/Per_48/All/All?pace_adjustment=,13
Croatian A-1 Liga,/international/league/14/Croatian-A-1-Liga/stats/2019/Per_48/All/All?pace_adjustment=,14
German BBL,/international/league/15/German-BBL/stats/2019/Per_48/All/All?pace_adjustment=,15
Belgium-Scooore League,/international/league/16/Belgium-Scooore-League/stats/2019/Per_48/All/All?pace_adjustment=,16
Slovenian SKL,/international/league/17/Slovenian-SKL/stats/2019/Per_48/All/All?pace_adjustment=,17
Adriatic League Liga ABA,/international/league/18/Adriatic-League-Liga-ABA/stats/2019/Per_48/All/All?pace_adjustment=,18
Bosnian BiH Liga,/international/league/19/Bosnian-BiH-Liga/stats/2019/Per_48/All/All?pace_adjustment=,19
Montenegrin Prva A Liga,/international/league/20/Montenegrin-Prva-A-Liga/stats/2019/Per_48/All/All?pace_adjustment=,20
Polish TBL,/international/league/21/Polish-TBL/stats/2019/Per_48/All/All?pace_adjustment=,21
Czech NBL,/international/league/24/Czech-NBL/stats/2019/Per_48/All/All?pace_adjustment=,24
Netherlands DBL,/international/league/25/Netherlands-DBL/stats/2019/Per_48/All/All?pace_adjustment=,25
Bulgarian NBL,/international/league/26/Bulgarian-NBL/stats/2019/Per_48/All/All?pace_adjustment=,26
Hungarian NBIA,/international/league/28/Hungarian-NBIA/stats/2019/Per_48/All/All?pace_adjustment=,28
Slovakian Extraliga,/international/league/29/Slovakian-Extraliga/stats/2019/Per_48/All/All?pace_adjustment=,29
Belarusian BPL,/international/league/30/Belarusian-BPL/stats/2019/Per_48/All/All?pace_adjustment=,30
Romanian Divizia A,/international/league/31/Romanian-Divizia-A/stats/2019/Per_48/All/All?pace_adjustment=,31
Swedish Basketligan,/international/league/32/Swedish-Basketligan/stats/2019/Per_48/All/All?pace_adjustment=,32
Georgian Super Liga,/international/league/33/Georgian-Super-Liga/stats/2019/Per_48/All/All?pace_adjustment=,33
Cypriot Division A,/international/league/34/Cypriot-Division-A/stats/2019/Per_48/All/All?pace_adjustment=,34
VTB United League,/international/league/35/VTB-United-League/stats/2019/Per_48/All/All?pace_adjustment=,35
Finnish Korisliiga,/international/league/37/Finnish-Korisliiga/stats/2019/Per_48/All/All?pace_adjustment=,37
Chinese CBA,/international/league/40/Chinese-CBA/stats/2019/Per_48/All/All?pace_adjustment=,40
Spanish Cup,/international/league/42/Spanish-Cup/stats/2019/Per_48/All/All?pace_adjustment=,42
Kaunas Tournament (ANGT),/international/league/45/Kaunas-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,45
Belgrade Tournament (ANGT),/international/league/46/Belgrade-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,46
adidas Next Generation Tournament,/international/league/47/adidas-Next-Generation-Tournament/stats/2019/Per_48/All/All?pace_adjustment=,47
Italian Cup,/international/league/48/Italian-Cup/stats/2019/Per_48/All/All?pace_adjustment=,48
Greek Cup,/international/league/49/Greek-Cup/stats/2019/Per_48/All/All?pace_adjustment=,49
French LNB Pro B,/international/league/50/French-LNB-Pro-B/stats/2019/Per_48/All/All?pace_adjustment=,50
Austrian A Bundesliga,/international/league/51/Austrian-A-Bundesliga/stats/2019/Per_48/All/All?pace_adjustment=,51
Italian Serie A2 Basket,/international/league/54/Italian-Serie-A2-Basket/stats/2019/Per_48/All/All?pace_adjustment=,54
Spanish LEB Gold,/international/league/55/Spanish-LEB-Gold/stats/2019/Per_48/All/All?pace_adjustment=,55
Turkish TBL,/international/league/56/Turkish-TBL/stats/2019/Per_48/All/All?pace_adjustment=,56
Ukrainian Superleague,/international/league/57/Ukrainian-Superleague/stats/2019/Per_48/All/All?pace_adjustment=,57
Argentinian Liga A,/international/league/58/Argentinian-Liga-A/stats/2019/Per_48/All/All?pace_adjustment=,58
Brazilian NBB,/international/league/59/Brazilian-NBB/stats/2019/Per_48/All/All?pace_adjustment=,59
Puerto Rican BSN,/international/league/62/Puerto-Rican-BSN/stats/2019/Per_48/All/All?pace_adjustment=,62
South Korean KBL,/international/league/63/South-Korean-KBL/stats/2019/Per_48/All/All?pace_adjustment=,63
Macedonian Superleague,/international/league/64/Macedonian-Superleague/stats/2019/Per_48/All/All?pace_adjustment=,64
Balkan BIBL,/international/league/65/Balkan-BIBL/stats/2019/Per_48/All/All?pace_adjustment=,65
Danish Basketligaen,/international/league/67/Danish-Basketligaen/stats/2019/Per_48/All/All?pace_adjustment=,67
Norwegian BLNO,/international/league/68/Norwegian-BLNO/stats/2019/Per_48/All/All?pace_adjustment=,68
British BBL,/international/league/69/British-BBL/stats/2019/Per_48/All/All?pace_adjustment=,69
Swiss LNA,/international/league/70/Swiss-LNA/stats/2019/Per_48/All/All?pace_adjustment=,70
Canadian NBL,/international/league/74/Canadian-NBL/stats/2019/Per_48/All/All?pace_adjustment=,74
New Zealand NBL,/international/league/75/New-Zealand-NBL/stats/2019/Per_48/All/All?pace_adjustment=,75
Mexican LNBP,/international/league/76/Mexican-LNBP/stats/2019/Per_48/All/All?pace_adjustment=,76
Mexican CIBACOPA,/international/league/77/Mexican-CIBACOPA/stats/2019/Per_48/All/All?pace_adjustment=,77
Spanish LEB Silver,/international/league/78/Spanish-LEB-Silver/stats/2019/Per_48/All/All?pace_adjustment=,78
Liga Americas,/international/league/79/Liga-Americas/stats/2019/Per_48/All/All?pace_adjustment=,79
Liga Sudamericana,/international/league/80/Liga-Sudamericana/stats/2019/Per_48/All/All?pace_adjustment=,80
Venezuelan LPB,/international/league/82/Venezuelan-LPB/stats/2019/Per_48/All/All?pace_adjustment=,82
Portuguese LPB,/international/league/83/Portuguese-LPB/stats/2019/Per_48/All/All?pace_adjustment=,83
French Leaders Cup LNB,/international/league/89/French-Leaders-Cup-LNB/stats/2019/Per_48/All/All?pace_adjustment=,89
Luxembourg Total League,/international/league/92/Luxembourg-Total-League/stats/2019/Per_48/All/All?pace_adjustment=,92
German Pro A,/international/league/94/German-Pro-A/stats/2019/Per_48/All/All?pace_adjustment=,94
Lebanese Division A,/international/league/95/Lebanese-Division-A/stats/2019/Per_48/All/All?pace_adjustment=,95
French NM1,/international/league/96/French-NM1/stats/2019/Per_48/All/All?pace_adjustment=,96
Intercontinental Cup,/international/league/97/Intercontinental-Cup/stats/2019/Per_48/All/All?pace_adjustment=,97
German Pro B,/international/league/101/German-Pro-B/stats/2019/Per_48/All/All?pace_adjustment=,101
FIBA Europe Cup,/international/league/102/FIBA-Europe-Cup/stats/2019/Per_48/All/All?pace_adjustment=,102
Kosovo FBK,/international/league/104/Kosovo-FBK/stats/2019/Per_48/All/All?pace_adjustment=,104
Japanese B.League,/international/league/105/Japanese-BLeague/stats/2019/Per_48/All/All?pace_adjustment=,105
Basketball Champions League,/international/league/106/Basketball-Champions-League/stats/2019/Per_48/All/All?pace_adjustment=,106
Basketball Champions League - Qualification,/international/league/107/Basketball-Champions-League--Qualification/stats/2019/Per_48/All/All?pace_adjustment=,107
FIBA Europe Cup - Qualification,/international/league/108/FIBA-Europe-Cup--Qualification/stats/2019/Per_48/All/All?pace_adjustment=,108
German Cup,/international/league/112/German-Cup/stats/2019/Per_48/All/All?pace_adjustment=,112
Greek HEBA A2,/international/league/113/Greek-HEBA-A2/stats/2019/Per_48/All/All?pace_adjustment=,113
French LNB Espoirs,/international/league/114/French-LNB-Espoirs/stats/2019/Per_48/All/All?pace_adjustment=,114
Munich Tournament (ANGT),/international/league/115/Munich-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,115
Adriatic Junior Liga ABA,/international/league/117/Adriatic-Junior-Liga-ABA/stats/2019/Per_48/All/All?pace_adjustment=,117
Lithuanian NKL,/international/league/118/Lithuanian-NKL/stats/2019/Per_48/All/All?pace_adjustment=,118
VTB Youth United League,/international/league/119/VTB-Youth-United-League/stats/2019/Per_48/All/All?pace_adjustment=,119
Bosnian Cup,/international/league/120/Bosnian-Cup/stats/2019/Per_48/All/All?pace_adjustment=,120
Serbian Cup,/international/league/121/Serbian-Cup/stats/2019/Per_48/All/All?pace_adjustment=,121
Turkish Cup,/international/league/122/Turkish-Cup/stats/2019/Per_48/All/All?pace_adjustment=,122
Estonian-Latvian Basketball League,/international/league/123/Estonian-Latvian-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,123
Spanish ACB SuperCup,/international/league/124/Spanish-ACB-SuperCup/stats/2019/Per_48/All/All?pace_adjustment=,124
ABA Liga Supercup,/international/league/125/ABA-Liga-Supercup/stats/2019/Per_48/All/All?pace_adjustment=,125
Zadar SuperCup,/international/league/126/Zadar-SuperCup/stats/2019/Per_48/All/All?pace_adjustment=,126
Alpe-Adria Cup,/international/league/127/Alpe-Adria-Cup/stats/2019/Per_48/All/All?pace_adjustment=,127
Canadian Elite Basketball League,/international/league/128/Canadian-Elite-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,128
Valencia Tournament (ANGT),/international/league/129/Valencia-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,129
PBA - Philippine Cup,/international/league/130/PBA--Philippine-Cup/stats/2019/Per_48/All/All?pace_adjustment=,130
PBA - Commissioners Cup,/international/league/131/PBA--Commissioners-Cup/stats/2019/Per_48/All/All?pace_adjustment=,131
PBA - Governors Cup,/international/league/132/PBA--Governors-Cup/stats/2019/Per_48/All/All?pace_adjustment=,132
African Basketball League,/international/league/135/African-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,135